generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
17,"['Sr', 'Ta', 'V']",Sr2TaVO6,Sr,Ta,V,0.6433335576984116,2.1433335576984116,0.007143577451536531,-3.2019173254051636,True
35,"['Sr', 'Mo', 'Co']",Sr2MoCoO6,Sr,Mo,Co,0.6817406556349216,0.8182593443650784,0.024691425180273445,-2.455311163034441,True
25,"['Sr', 'Ta', 'Sb']",Sr2TaSbO6,Sr,Ta,Sb,0.68721072303752,2.18721072303752,0.02237922315113782,-2.929764246625518,True
1,"['Ca', 'Ti', 'W']",Ca2TiWO6,Ca,Ti,W,0.6905558984343436,0.8094441015656564,0.03384718409782044,-2.957801696862244,True
1,"['Sr', 'W', 'Al']",Sr2WAlO6,Sr,W,Al,0.6983310697835501,2.19833106978355,0.018647084813039394,-2.9315543908189046,True
4,"['Ca', 'Ta', 'Cr']",Ca2TaCrO6,Ca,Ta,Cr,0.7485938192063486,2.2485938192063486,0.010542019599745786,-3.208534222140144,True
2,"['Rb', 'Cr', 'Ti']",Rb2CrTiO6,Rb,Cr,Ti,0.7492068696031757,2.2492068696031757,0.009961982388695032,-2.966073070907478,True
1,"['Rb', 'Ti', 'Cr']",Rb2TiCrO6,Rb,Ti,Cr,0.7492068696031762,2.249206869603176,0.009961982388695032,-2.966073070907478,True
1,"['Mg', 'Zn', 'Cr']",Mg2ZnCrO6,Mg,Zn,Cr,0.7564214256985647,2.0789283757936494,0.06774930499049153,-2.346143176547359,True
3,"['Sr', 'Nb', 'Sb']",Sr2NbSbO6,Sr,Nb,Sb,0.7604491951803745,2.2604491951803745,0.023257748351448584,-2.818020975843875,True
4,"['Sr', 'Zr', 'Ti']",Sr2ZrTiO6,Sr,Zr,Ti,0.7750843657359328,2.2750843657359328,0.030316855933298192,-3.575078385118163,True
2,"['Cs', 'Cr', 'Ti']",Cs2CrTiO6,Cs,Cr,Ti,0.7792801430158738,2.279280143015874,0.011592216342306757,-2.954345907134574,True
7,"['Sr', 'V', 'Bi']",Sr2VBiO6,Sr,V,Bi,0.7905407171428549,2.290540717142855,0.020990930800991365,-2.8099696186526875,True
1,"['Ba', 'Ni', 'Bi']",Ba2NiBiO6,Ba,Ni,Bi,0.8150205671428578,0.6849794328571422,0.03194784466701141,-2.3607398980867575,True
7,"['Sr', 'V', 'Sb']",Sr2VSbO6,Sr,V,Sb,0.827497772142856,2.327497772142856,0.012144402523599461,-2.8344719490571277,True
2,"['Mg', 'Cr', 'Sb']",Mg2CrSbO6,Mg,Cr,Sb,0.8598207798646096,2.053732620714285,0.08060881591503247,-2.383831918092105,True
4,"['Ca', 'Ta', 'Ti']",Ca2TaTiO6,Ca,Ta,Ti,0.8619779499999987,2.3619779499999987,0.01626154136008313,-3.4715520259722847,True
20,"['Sr', 'Ta', 'Mn']",Sr2TaMnO6,Sr,Ta,Mn,0.867781638044734,0.632218361955266,0.002574994549380372,-3.0931713150570634,True
2,"['Na', 'Cr', 'Zr']",Na2CrZrO6,Na,Cr,Zr,0.8704792270979005,2.3704792270979005,0.027945258877385342,-2.9899764623633276,True
18,"['Sr', 'Ta', 'Cr']",Sr2TaCrO6,Sr,Ta,Cr,0.8929414740476163,2.3929414740476163,0.0021018633145798156,-3.197188185838068,True
2,"['Sr', 'Cr', 'Ta']",Sr2CrTaO6,Sr,Cr,Ta,0.8929414740476167,2.3929414740476167,0.0021018633145798164,-3.197188185838068,True
1,"['Na', 'Ta', 'V']",Na2TaVO6,Na,Ta,V,0.9087244781063875,2.345540476239312,0.056318400186707536,-3.035607630989823,True
1,"['Li', 'V', 'Nb']",Li2VNbO6,Li,V,Nb,0.916861060528361,2.3156419660589407,0.06012190944694203,-3.0026189690993283,True
3,"['Sr', 'Ti', 'Sb']",Sr2TiSbO6,Sr,Ti,Sb,0.9220497695021628,2.4220497695021628,0.014807692756708629,-2.976722626475015,True
1,"['Na', 'V', 'Nb']",Na2VNbO6,Na,V,Nb,0.9278121766972877,2.403671051773225,0.052414112492406274,-3.0064404720109934,True
6,"['Sr', 'V', 'Hf']",Sr2VHfO6,Sr,V,Hf,0.9849563196536795,2.4849563196536795,0.016531669178286985,-3.469883978541535,True
1,"['Y', 'Ti', 'Sb']",Y2TiSbO6,Y,Ti,Sb,1.0222222473809532,2.5222222473809532,0.026958740393399364,-2.833908470068544,True
6,"['Sr', 'V', 'Sn']",Sr2VSnO6,Sr,V,Sn,1.0457948057936495,2.5457948057936495,0.016814981867633073,-2.9332517500211894,True
1,"['Sr', 'V', 'Al']",Sr2VAlO6,Sr,V,Al,1.064186686724387,2.564186686724387,0.012244036584996943,-3.4439380999563283,True
16,"['Sr', 'Ta', 'Ti']",Sr2TaTiO6,Sr,Ta,Ti,1.106523797272727,2.606523797272727,0.009010917911667,-3.464255425686643,True
1,"['Mg', 'Hf', 'Ti']",Mg2HfTiO6,Mg,Hf,Ti,1.1917464383828154,2.3604791872222237,0.08312672511605916,-3.543039735015779,True
1,"['Mg', 'W', 'Zn']",Mg2WZnO6,Mg,W,Zn,1.2197611566582747,2.6045699326190466,0.06151912240392282,-2.3964421292299685,True
1,"['Mg', 'Ta', 'Ga']",Mg2TaGaO6,Mg,Ta,Ga,1.2211894935806065,2.4524770063708505,0.0768712487209756,-2.6995373498014765,True
1,"['Y', 'Zr', 'Sn']",Y2ZrSnO6,Y,Zr,Sn,1.2754910576190475,2.7754910576190475,0.035083522340721984,-3.066214301253074,True
6,"['Sr', 'V', 'In']",Sr2VInO6,Sr,V,In,1.4712654670634957,2.9712654670634957,0.013220726295572282,-3.0308276184925402,True
40,"['Sr', 'Ta', 'Al']",Sr2TaAlO6,Sr,Ta,Al,1.8146280374891766,3.3146280374891766,0.02110090037714972,-3.4524952320959468,True
2,"['Sr', 'Ta', 'Ga']",Sr2TaGaO6,Sr,Ta,Ga,2.1245916119047554,3.6245916119047554,0.00738998563623046,-3.1474207875080595,True
37,"['Sr', 'Ta', 'In']",Sr2TaInO6,Sr,Ta,In,2.4270443337085172,3.9270443337085172,0.01403715967745611,-3.086491858570008,True
